47 Taieri,Total Party Votes,"ANDREWS, Robert Duncan (ACT New Zealand)","ROBERTS, Frederick (Advance NZ)","WILLIS, Scott Matthew (Green Party)","LEARY, Ingrid Marieke (Labour Party)","KERNAGHAN, Liam Michael (National Party)","KELLEHER, Allison (New Conservative)","PATTERSON, Mark William James (New Zealand First Party)","SMITH, Stanley Roy (ONE Party)","VOIGHT, Warren Raymond (Social Credit)","WEBBER, David Wayne (Independent)","LEQUEUX, Olivier Georges Roger (Independent)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,3302,23.05,0.06,0.85,5.21,65.60,1.00,2.30,0.21,0.30,0.12,0.33,0.64,0.33,100.00
Advance NZ,236,0.85,80.51,2.54,2.54,8.90,0.42,1.27,0.85,0.00,0.00,0.00,0.42,1.69,100.00
Aotearoa Legalise Cannabis Party,122,7.38,0.82,26.23,38.52,3.28,2.46,5.74,0.00,1.64,2.46,2.46,5.74,3.28,100.00
Green Party,2440,0.20,0.04,30.16,63.44,3.61,0.08,0.66,0.12,0.16,0.45,0.33,0.41,0.33,100.00
HeartlandNZ,3,33.33,0.00,0.00,0.00,33.33,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
Labour Party,26608,0.94,0.10,4.50,84.62,5.30,0.18,1.71,0.16,0.14,0.10,0.26,1.47,0.54,100.00
Māori Party,55,0.00,0.00,25.45,38.18,14.55,0.00,7.27,0.00,0.00,5.45,1.82,0.00,7.27,100.00
National Party,9531,2.19,0.13,0.41,1.46,91.14,0.85,1.64,0.29,0.08,0.06,0.10,1.16,0.47,100.00
New Conservative,501,1.60,1.00,0.00,4.19,26.95,57.09,2.99,3.79,0.40,0.00,0.40,1.40,0.20,100.00
New Zealand First Party,1179,0.85,0.59,1.44,32.57,13.74,0.93,45.72,0.59,0.08,0.51,0.42,1.95,0.59,100.00
NZ Outdoors Party,34,14.71,8.82,5.88,14.71,14.71,0.00,2.94,0.00,5.88,11.76,11.76,8.82,0.00,100.00
ONE Party,105,0.00,0.00,0.95,4.76,7.62,0.00,1.90,80.00,0.95,0.00,0.00,1.90,1.90,100.00
Social Credit,45,0.00,2.22,6.67,13.33,4.44,0.00,0.00,0.00,71.11,0.00,0.00,2.22,0.00,100.00
Sustainable New Zealand Party,27,11.11,0.00,14.81,29.63,18.52,0.00,14.81,3.70,0.00,7.41,0.00,0.00,0.00,100.00
TEA Party,6,0.00,0.00,33.33,16.67,16.67,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,100.00
The Opportunities Party (TOP),571,4.03,0.88,18.74,45.01,19.26,0.35,2.98,0.53,1.40,1.40,2.63,2.10,0.70,100.00
Vision New Zealand,10,0.00,10.00,0.00,10.00,10.00,10.00,0.00,30.00,0.00,0.00,10.00,10.00,10.00,100.00
Informal Party Votes,382,1.57,0.26,4.71,32.98,13.61,0.79,3.40,0.52,0.26,0.00,0.52,41.10,0.26,100.00
Total Party Votes and Percentages,45157,2.86,0.57,4.89,55.94,28.49,1.05,2.90,0.45,0.24,0.17,0.29,1.65,0.52,100.00
