1,Auckland Central,Auckland
2,Banks Peninsula,Canterbury
3,Bay of Plenty,Bay of Plenty
4,Botany,Auckland
5,Christchurch Central,Canterbury
6,Christchurch East,Canterbury
7,Coromandel,Bay of Plenty
8,Dunedin,Lower South Island
9,East Coast,Central North Island
10,East Coast Bays,Auckland
11,Epsom,Auckland
12,Hamilton East,Waikato
13,Hamilton West,Waikato
14,Hutt South,Wellington
15,Ilam,Canterbury
16,Invercargill,Lower South Island
17,Kaikōura,Upper South Island
18,Kaipara ki Mahurangi,Auckland
19,Kelston,Auckland
20,Mana,Wellington
21,Māngere,Auckland
22,Manurewa,Auckland
23,Maungakiekie,Auckland
24,Mt Albert,Auckland
25,Mt Roskill,Auckland
26,Napier,Central North Island
27,Nelson,Upper South Island
28,New Lynn,Auckland
29,New Plymouth,Central North Island
30,North Shore,Auckland
31,Northcote,Auckland
32,Northland,Northland
33,Ōhāriu,Wellington
34,Ōtaki,Central North Island
35,Pakuranga,Auckland
36,Palmerston North,Central North Island
37,Panmure-Ōtāhuhu,Auckland
38,Papakura,Auckland
39,Port Waikato,Auckland
40,Rangitata,Canterbury
41,Rangitīkei,Central North Island
42,Remutaka,Wellington
43,Rongotai,Wellington
44,Rotorua,Central North Island
45,Selwyn,Canterbury
46,Southland,Lower South Island
47,Taieri,Lower South Island
48,Takanini,Auckland
49,Tāmaki,Auckland
50,Taranaki-King Country,Waikato
51,Taupō,Waikato
52,Tauranga,Bay of Plenty
53,Te Atatū,Auckland
54,Tukituki,Central North Island
55,Upper Harbour,Auckland
56,Waikato,Waikato
57,Waimakariri,Canterbury
58,Wairarapa,Central North Island
59,Waitaki,Lower South Island
60,Wellington Central,Wellington
61,West Coast-Tasman,Upper South Island
62,Whanganui,Central North Island
63,Whangaparāoa,Auckland
64,Whangārei,Northland
65,Wigram,Canterbury
